lunch_name,taste,meatiness,sweetness
čočka na kyselo vejce vařené čalamáda,42,0,0
rizoto z drůbežího masa sypané sýrem červená řepa,51,60,0
rybí nugety z aljašské tresky bramborová kaše salátová okurka,67,70,0
zapečený květák s uzeným sýrem brambory vařené s petrželkou kapie,26,25,0
námořnické maso rýže dušená,50,80,0
pohanková kaše slazená medem sypanám kakaem ovocný kompot horká čokoláda,45,0,40
dušené hovězí maso s paprikami a tarhoňou,35,90,0
těstoviny s brokolicí a nivou rajče,21,0,0
chlupaté knedlíky se zelím,45,0,0
bulgur se zeleninou sypané sýrem rajče,30,0,0
rybí nugety z aljašské tresky bramborová kaše,67,70,0
plovdivské maso těstoviny vařené,54,80,0
milánské špagety s luštěninovou směsí a sýrem,39,0,0
brambor.špalíčky se zelím a trhaném kachním masem,57,75,0
vepřová kýta na paprice těstoviny vařené,52,85,0
štěpánská vepřová pečeně houskové knedlíky s žemlí,55,87,0
krůtí svíčková na smetaně houskové knedlíky domácí,70,77,0
srbské rizoto červená řepa,51,40,0
luštěninové rizoto s kroupami a vepřovým masem čalamáda,38,60,0
brambory po milánsku nakládaná cibulka,26,0,0
vepřová panenka na slanince brambory šťouchané s jarní cibulkou,60,90,0
kuřecí roláda bramborová kaše okurka sterilovaná,62,82,0
karbanátky pečené bramborová kaše salátová okurka,68,75,0
obalovaný losos s medem a hořčicí brambory vařené rajče,58,65,10
kantonské nudle s kuřecím masem listy ledového salátu,45,67,0
bramborové taštičky se sýrem míchaný zeleninový salát,48,0,0
srbské rizoto nakládaná cibulka,51,40,0
tarhoňa se žampiony a houbovým prachem rajčatový salát,14,0,0
zapečený květák s uzeným sýrem brambory vařené listy ledového salátu,25,25,0
rybí prsty smažené bramborová kaše nakládané kukuřičky,70,67,0
vepřová kýta po selsku dušené hlávkové zelí bramborové knedlíky,50,85,0
vepřové výpečky špenát dušený bramborové knedlíky,54,90,0
obalovaná treska se špenátem bramborová kaše listy ledového salátu,45,67,0
bramborák uzená krkovice zelí,54,77,0
hovězí plátek po provensálsku rýže dušená,52,82,0
zapečené brambory se smetanou a vepřovou kotletou rajče,53,82,0
grilované kuřecí stehno brambory šťouchané s pažitkou obloha,63,82,0
hamburger s trhaným kuřecím masem,78,82,0
kuřecí kostky na nivě rýže jasmínová,40,75,0
poděbradské maso těstoviny rýžové,54,80,0
bulgurový pilaf se sumečkem okurka sterilovaná,25,60,0
kuřecí nudličky v liškové omáčce se spätzlemi,50,72,0
pštrosí vejce bramborová kaše listy římského salátu,60,60,0
čočka na přírodní způsob vaječná omeleta okurka kyselá,45,0,0
kotlíkový perkelt špaldové knedlíky,52,82,0
kuřecí nudličky s mandlemi a rýží,51,77,0
luhačovický špaček bramborová kaše,69,77,0
špagety po boloňsku,58,75,0
kukuřičný klas restovaná zelenina na másle kaiserka,32,0,0
těstoviny s brokolicí a nivou okurkový salát,22,0,0
bramborové knedlíky plněné uzeným masem,51,75,0
rýžová kaše s grankem maštěné máslem granko,45,0,50
lasagne s mletým masem okurka salátová,60,80,0
kuřecí kostky na nivě brambory vařené,40,77,0
pečené vepřové koleno strouhaný křen hořčice chléb,60,100,0
makové šišky z brambor. těsta maštěné máslíčkem ovocný kompot granko,60,0,50
gnocchi s houbovou omáčkou,27,0,0
gnocchi s kuřecím masem list špenátem a smetanou,18,72,0
tarhoňa se žampiony a houbovým prachem červená řepa,13,0,0
vepřové kostky na houbách rýže dušená,50,82,0
vrtule s mákem ovocný kompot kakao nesquik,60,0,40
kuřecí roláda brambory vařené,55,80,0
lososové nugetky bramborová kaše kapie,65,65,0
hovězí dušené kostky na zelenině rýže divoká,47,87,0
kuřecí marinovaný plátek čočka na přírodní způsob,38,72,0
luštěninový salát s makrelou pečivo,30,70,0
rybí file na másle s citronem bramborová kaše okurka sterilovaná,59,75,0
hovězí maso stroganov rýže dušená,52,87,0
