lunch_name,taste,meatiness,sweetness,healthiness
čočka na kyselo vejce vařené čalamáda,42,0,0,60
rizoto z drůbežího masa sypané sýrem červená řepa,51,20,0,50
rybí nugety z aljašské tresky bramborová kaše salátová okurka,67,20,0,40
zapečený květák s uzeným sýrem brambory vařené s petrželkou kapie,26,20,0,55
námořnické maso rýže dušená,50,35,0,45
pohanková kaše slazená medem sypanám kakaem ovocný kompot horká čokoláda,45,0,40,30
dušené hovězí maso s paprikami a tarhoňou,35,40,0,50
těstoviny s brokolicí a nivou rajče,21,0,0,65
chlupaté knedlíky se zelím,45,0,0,45
bulgur se zeleninou sypané sýrem rajče,30,0,0,60
rybí nugety z aljašské tresky bramborová kaše,67,20,0,40
plovdivské maso těstoviny vařené,54,40,0,45
milánské špagety s luštěninovou směsí a sýrem,39,10,0,50
brambor.špalíčky se zelím a trhaném kachním masem,57,45,0,40
vepřová kýta na paprice těstoviny vařené,52,45,0,45
štěpánská vepřová pečeně houskové knedlíky s žemlí,55,40,0,50
krůtí svíčková na smetaně houskové knedlíky domácí,70,40,0,55
srbské rizoto červená řepa,51,15,0,45
luštěninové rizoto s kroupami a vepřovým masem čalamáda,38,30,0,40
brambory po milánsku nakládaná cibulka,26,0,0,50
vepřová panenka na slanince brambory šťouchané s jarní cibulkou,60,55,0,50
kuřecí roláda bramborová kaše okurka sterilovaná,62,35,0,50
karbanátky pečené bramborová kaše salátová okurka,68,40,0,40
obalovaný losos s medem a hořčicí brambory vařené rajče,58,20,10,50
kantonské nudle s kuřecím masem listy ledového salátu,45,30,0,50
bramborové taštičky se sýrem míchaný zeleninový salát,48,0,0,60
srbské rizoto nakládaná cibulka,51,15,0,45
tarhoňa se žampiony a houbovým prachem rajčatový salát,14,0,0,55
zapečený květák s uzeným sýrem brambory vařené listy ledového salátu,25,20,0,55
rybí prsty smažené bramborová kaše nakládané kukuřičky,70,20,0,35
vepřová kýta po selsku dušené hlávkové zelí bramborové knedlíky,50,45,0,40
vepřové výpečky špenát dušený bramborové knedlíky,54,50,0,40
obalovaná treska se špenátem bramborová kaše listy ledového salátu,45,20,0,40
bramborák uzená krkovice zelí,54,45,0,35
hovězí plátek po provensálsku rýže dušená,52,40,0,45
zapečené brambory se smetanou a vepřovou kotletou rajče,53,45,0,40
grilované kuřecí stehno brambory šťouchané s pažitkou obloha,63,35,0,50
hamburger s trhaným kuřecím masem,78,40,0,35
kuřecí kostky na nivě rýže jasmínová,40,40,0,45
poděbradské maso těstoviny rýžové,54,30,0,45
bulgurový pilaf se sumečkem okurka sterilovaná,25,10,0,55
kuřecí nudličky v liškové omáčce se spätzlemi,50,30,0,50
pštrosí vejce bramborová kaše listy římského salátu,60,30,0,45
čočka na přírodní způsob vaječná omeleta okurka kyselá,45,0,0,55
kotlíkový perkelt špaldové knedlíky,52,45,0,45
kuřecí nudličky s mandlemi a rýží,51,30,0,50
luhačovický špaček bramborová kaše,69,40,0,40
špagety po boloňsku,58,35,0,45
kukuřičný klas restovaná zelenina na másle kaiserka,32,0,0,60
těstoviny s brokolicí a nivou okurkový salát,22,0,0,60
bramborové knedlíky plněné uzeným masem,51,45,0,40
rýžová kaše s grankem maštěné máslem granko,45,0,50,25
lasagne s mletým masem okurka salátová,60,40,0,45
kuřecí kostky na nivě brambory vařené,40,40,0,45
pečené vepřové koleno strouhaný křen hořčice chléb,60,60,0,30
makové šišky z brambor. těsta maštěné máslíčkem ovocný kompot granko,60,0,50,25
gnocchi s houbovou omáčkou,27,0,0,50
gnocchi s kuřecím masem list špenátem a smetanou,18,35,0,50
tarhoňa se žampiony a houbovým prachem červená řepa,13,0,0,55
vepřové kostky na houbách rýže dušená,50,45,0,45
vrtule s mákem ovocný kompot kakao nesquik,60,0,40,30
kuřecí roláda brambory vařené,55,35,0,45
lososové nugetky bramborová kaše kapie,65,20,0,45
hovězí dušené kostky na zelenině rýže divoká,47,50,0,50
kuřecí marinovaný plátek čočka na přírodní způsob,38,30,0,50
luštěninový salát s makrelou pečivo,30,10,0,65
rybí file na másle s citronem bramborová kaše okurka sterilovaná,64,20,0,50
hovězí maso stroganov rýže dušená,52,50,0,45
těstoviny s bešamelem červená řepa,31,0,0,50
rizoto z drůbežího masa sypané sýrem listy ledového salátu,51,20,0,50
ravioli plněné sypané strouhaným tvarohem a cukrem kakao,58,0,50,30
drůbeží játra na cibulce rýže dušená,51,0,0,45
rybí karbanátky pečené se sýrem bramborová kaše,61,20,0,45
